cafe_mac,minutes_to_campus,fave_temp,hangout
fried rice,15,27,a forest
Yogurt ,28,22,the mountains
Pizza,5,20,the mountains
Pasta ,10,18.33,a beach
vanilla ice cream,15,20,a beach
Pizza,12,10,a city
Eggs,4,70,the mountains
Chocolate Chip Cookies,2,20,the mountains
Chicken tenders,10,16,a city
Oatmeal Raisin Cookie,7,25,a beach
the loch,5,20,the mountains
Mashed Potatoes,5,24,the mountains
Pasta of the day ,10,22.77,the mountains
Hot water,7,25,a beach
Pizza,5,18,a city
Soft Serve ,7,21,a city
Cafe Mac Breakfast! ,10,24,a city
Eggs,7,18,the mountains
The chocolate chip cookies,10,25,a beach
Cucumber salad,4,-5,a forest
lemon poppy seed muffin ,10,16,the mountains
Ice Cream,14,26,a beach
pasta,5,15.5,a beach
Mac and cheese!,7,21.5,a beach
Cucumbers from the salad bar,3,18,a forest
Burger,5,21,the mountains
Mac and Cheese,7,22,a city
The pizza,8,22,a prairie
Green Mellon ,8,15,a beach
Waffles,13,23,a beach
Cheese egg,7,25,a city
Pizza,3,17,a city
Sandwich,7,12,a forest
Muffins,4,17,the mountains
Chorizo,7,21,a beach
Pepperoni Pizza,20,24,a forest
Water,7,23.99,a beach
My favorite food at Cafe Mac is getting to build my own sandwich.,5,22,a beach
Vegiterrian Chili,7,13.33,a forest
Pizza,7,23,a city
Eggs,4,70,the mountains
Pasta,4,21,a beach
teriyaki chicken and rice,7,23,a beach
pizza,10,25,a beach
sweet potato fries,12,21,a forest
Yogurt and granola,7,15.6,a forest
chocolate muffins,17,15,a forest
pizza,7,18,a city