"number","crn","name","days","time","room","instructor","avail_max"
"POLI 213-02","10650","Politics in Action","  W  ","12:00 - 1:00 pm","LIBR 250","Lesley Lavery","17 / 25"
"POLI 215-01","10301","Environmental Politics/Policy"," T R ","3:00 - 4:30 pm","THEATR 204","Roopali Phadke","8 / 24"
"POLI 242-01","10651","Political Economy of Development"," T R ","1:20 - 2:50 pm","CARN 204","Lisa Mueller","9 / 20"
"POLI 250-01","10737","Comparative-Historical Methods for Social Science","M W F","10:50 - 11:50 am","THEATR 001","Erik Larson","1 / 29"
"POLI 269-01","10654","Empirical Research Methods","M W F","1:10 - 2:10 pm","CARN 206","Julie Dolan","-2 / 25"
"POLI 277-01","10408","Metaphysics in Secular Thought"," T R ","3:00 - 4:30 pm","HUM 401","Kiarina Kordela","3 / 25"
"POLI 292-01","11032","Human Rights at the High Table: Protection Mandates in the United Nations Security Council","M    ","8:00 - 9:30 am","CARN 305","Andrew Latham","-3 / 25"
"POLI 294-01","10655","A New Cold War? US-China Relations in the 2020’s"," T R ","1:20 - 2:50 pm","CARN 105","Andrew Latham","8 / 25"
"POLI 294-02","10656","Marx and Foucault","M W F","10:50 - 11:50 am","CARN 204","Rothin Datta","5 / 20"
"POLI 294-04","10858","Politics of Latin America","M W F","2:20 - 3:20 pm","CARN 206","Felipe Ribeiro","9 / 25"
"POLI 320-01","10657","Global Political Economy"," T R ","9:40 - 11:10 am","OLRI 300","Sheharyar Imran","1 / 20"
"POLI 323-01","10659","Humanitarianism in World Politics"," T R ","1:20 - 2:50 pm","HUM 216","Wendy Weber","6 / 20"
"POLI 394-01","10660","Just War and the Politics of Violence"," T R ","3:00 - 4:30 pm","ARTCOM 102","Della Zurick","6 / 20"
"POLI 400-01","10661","Senior Research Seminar","M W F","1:10 - 2:10 pm","CARN 204","Rothin Datta","6 / 15"
"POLI 400-02","10662","Senior Research Seminar"," T R ","1:20 - 2:50 pm","CARN 05","Patrick Schmidt","1 / 15"
"POLI 400-03","10663","Senior Research Seminar","M W F","1:10 - 2:10 pm","CARN 105","Wendy Weber","4 / 15"
"POLI 400-04","10664","Senior Research Seminar"," T R ","3:00 - 4:30 pm","CARN 204","Lisa Mueller","2 / 15"
"PORT 111-01","10760","Accelerated Beginning Portuguese","M W F","1:10 - 2:10 pm","HUM 215","Fernanda Bartolomei-Merlin","-1 / 17"
"PORT 111-02","10761","Accelerated Beginning Portuguese","M W F","2:20 - 3:20 pm","HUM 215","Fernanda Bartolomei-Merlin","4 / 15"
"PORT 394-01","10890","Cronicas, Snapshots of Brazil","M W F","10:50 - 11:50 am","HUM 212","Fernanda Bartolomei-Merlin","1 / 15"
"PSYC 100-01","10665","Introduction to Psychology","M W F","9:40 - 10:40 am","THEATR 205","Annie Pezalla","1 / 36"
"PSYC 100-02","10666","Introduction to Psychology","M W  ","8:00 - 9:30 am","THEATR 205","Keira Leneman","0 / 36"
"PSYC 100-L1","10667","Introduction to Psychology Lab"," T   ","9:40 - 11:10 am","OLRI 352","Jamie Atkins","2 / 16"
"PSYC 100-L2","10668","Introduction to Psychology Lab"," T   ","3:00 - 4:30 pm","OLRI 352","Jamie Atkins","3 / 16"
"PSYC 100-L3","10669","Introduction to Psychology Lab","   R ","9:40 - 11:10 am","OLRI 352","Jamie Atkins","0 / 16"
"PSYC 100-L4","10670","Introduction to Psychology Lab","   R ","1:20 - 2:50 pm","OLRI 352","Jamie Atkins","0 / 16"
"PSYC 100-L5","11014","Introduction to Psychology Lab"," T   ","1:20 - 2:50 pm","OLRI 352","Jamie Atkins","4 / 16"
"PSYC 201-01","10671","Research in Psychology I","M W F","2:20 - 3:20 pm","OLRI 352","Brooke Lea","-2 / 24"
"PSYC 201-L1","10672","Research in Psychology I Lab","   R ","1:20 - 2:50 pm","OLRI 349","Brooke Lea","-4 / 12"
"PSYC 201-L2","10673","Research in Psychology I Lab","   R ","3:00 - 4:30 pm","OLRI 349","Brooke Lea","2 / 12"
"PSYC 220-01","10870","Educational Psychology","M W F","9:40 - 10:40 am","HUM 226","Cristina Silva Gleason","1 / 24"
"PSYC 242-01","10674","Cognitive Psychology","M W F","8:30 - 9:30 am","OLRI 352","Ariel James","0 / 24"
"PSYC 242-L1","10675","Cognitive Psychology Lab"," T   ","9:40 - 11:10 am","OLRI 349","Ariel James","0 / 24"
"PSYC 244-01","10676","Cognitive Neuroscience","M W F","9:40 - 10:40 am","THEATR 204","Darcy Burgund","1 / 30"
"PSYC 244-L1","10677","Cognitive Neuroscience Lab","   R ","9:40 - 11:10 am","THEATR 001","Darcy Burgund","1 / 30"
"PSYC 248-01","10678","Behavioral Neuroscience","M W F","2:20 - 3:20 pm","THEATR 200","Jean-Marie Maddux","0 / 24"
"PSYC 248-L1","10679","Behavioral Neuroscience Lab","   R ","1:20 - 4:30 pm","OLRI 371H","Jean-Marie Maddux","0 / 24"
"PSYC 250-01","10680","Developmental Psychology","M W  ","8:00 - 9:30 am","THEATR 206","Erika DeAngelis","-1 / 28"
"PSYC 252-01","10864","Distress, Dysfunction, and Disorder: Perspectives on the DSM","M W F","9:40 - 10:40 am","THEATR 200","Jieyi Cai","0 / 32"
"PSYC 258-01","10681","Industrial/Organizational Psychology","M    ","7:00 - 10:00 pm","THEATR 203","Keith HalperinKaren Grabow","12 / 24"
"PSYC 264-01","10865","The Psychology of Gender"," T R ","3:00 - 4:30 pm","THEATR 206","Rebecca Bigler","8 / 32"
"PSYC 270-01","10309","Psychology of Sustainable Behavior"," T R ","1:20 - 2:50 pm","OLRI 243","Christie Manning","0 / 20"
"PSYC 272-01","10682","Health Psychology"," T R ","8:00 - 9:30 am","THEATR 205","Grace Vieth","0 / 28"
"PSYC 273-F1","10311","Psychology and/of Climate Change"," T R ","9:40 - 11:10 am","OLRI 243","Christie Manning","1 / 17"
"PSYC 301-01","10684","Research in Psychology II"," T R ","1:20 - 2:50 pm","THEATR 201","Steve Guglielmo","4 / 24"
"PSYC 301-02","10685","Research in Psychology II"," T R ","9:40 - 11:10 am","THEATR 205","Cari Gillen-O'Neel","2 / 24"
"PSYC 377-01","10686","Moral Psychology"," T R ","9:40 - 11:10 am","OLRI 301","Steve Guglielmo","-1 / 16"
"PSYC 394-01","10687","Family Relationships","M W F","1:10 - 2:10 pm","OLRI 300","Annie Pezalla","-1 / 16"
"PSYC 394-02","10688","Neuropsychology of Injury and Recovery","M W  ","7:00 - 8:30 pm","OLRI 270","Anne RialAlexander Roman","0 / 16"
"PSYC 394-03","10689","Trauma, Individuals, and Society","  W  ","7:00 - 10:00 pm","THEATR 206","Tracey Wilkins","0 / 16"
"PSYC 394-05","10691","LGBTQ + Health","M    ","7:00 - 10:00 pm","THEATR 201","Brian Rood","-1 / 16"
"PSYC 394-06","10899","Racialized Stress, Human Development, and Social Policy"," T R ","9:40 - 11:10 am","OLRI 370","Keira Leneman","2 / 16"
"PSYC 394-07","10996","Developing Healthy Skepticism in the Age of “Fake News”","M W F","12:00 - 1:00 pm","THEATR 206","Erika DeAngelis","6 / 16"
"PSYC 401-01","10692","Directed Research in Psychology","M W F","10:50 - 11:50 am","OLRI 352","Brooke Lea","0 / 4"
"PSYC 401-02","10693","Directed Research in Psychology","M W F","10:50 - 11:50 am","OLRI 301","Jieyi Cai","1 / 8"
"PSYC 401-03","10694","Directed Research in Psychology","M W F","10:50 - 11:50 am","OLRI 349","Ariel James","0 / 8"
"PSYC 402-01","10695","Clinical Science Capstone","M W F","10:50 - 11:50 am","OLRI 370","Jaine Strauss","0 / 16"
"PSYC 494-01","10697","Research in Behavioral Neuroscience","M W F","10:50 - 11:50 am","OLRI 300","Jean-Marie Maddux","2 / 8"
"RELI 101-01","10698","Islam in America","M W F","9:40 - 10:40 am","MAIN 011","Brittany Landorf","14 / 20"
"RELI 111-F1","10699","Introduction to Buddhism","M W F","10:50 - 11:50 am","MAIN 111","Erik Davis","3 / 17"
"RELI 124-01","10701","Dharma and Dao: Big Ideas in India and China","M W F","10:50 - 11:50 am","MAIN 002","James Laine","2 / 12"
"RELI 135-01","10703","India and Rome"," T R ","1:20 - 2:50 pm","OLRI 100","James LaineAndrew Overman","7 / 30"
"RELI 136-01","10705","World Religions and World Religions Discourse","M W F","2:20 - 3:20 pm","MAIN 001","James Laine","4 / 15"
"RELI 194-01","10707","Gender Relations in Islam","M W F","1:10 - 2:10 pm","MAIN 001","Ahoo Najafian","3 / 15"
"RELI 194-02","10709","Life After Death in Jewish Texts and Traditions"," T R ","1:20 - 2:50 pm","MAIN 011","Nicholas Schaser","13 / 16"
"RELI 194-F1","10706","Virginity from Mary to Millennials"," T R ","9:40 - 11:10 am","MAIN 001","Susanna Drake","1 / 15"
"RELI 223-01","10710","Orthodoxy and Heresy in Early Christianity","M W F","9:40 - 10:40 am","MAIN 001","Susanna Drake","10 / 20"
"RELI 225-01","10711","Women and the Bible"," T R ","1:20 - 2:50 pm","MAIN 002","Susanna Drake","8 / 20"
"RELI 235-01","10713","Theorizing Religion","M W F","9:40 - 10:40 am","MAIN 003","Erik Davis","5 / 12"
"RELI 277-01","10409","Metaphysics in Secular Thought"," T R ","3:00 - 4:30 pm","HUM 401","Kiarina Kordela","3 / 25"
"RELI 294-01","10714","Second Temple Judaism: Jews in the Ancient Mediterranean World"," T R ","9:40 - 11:10 am","CARN 105","Nicholas Schaser","14 / 16"
"RELI 294-02","10715","Love in the Persian World","M W F","3:30 - 4:30 pm","MAIN 111","Ahoo Najafian","3 / 15"
"RELI 294-03","10716","Faith and Fascism"," T R ","3:00 - 4:30 pm","MAIN 011","Ethan Besser Fredrick","10 / 20"
"RELI 294-04","10855","Conversion and Inquisition: Religious Change","M W  ","8:00 - 9:30 am","MAIN 009","Karin Vélez","9 / 20"
"RUSS 101-01","10717","Elementary Russian I","M W F","9:40 - 10:40 am","ARTCOM 202","Maria Fedorova","11 / 20"
"RUSS 101-L1","10718","Elementary Russian I Lab"," T R ","9:40 - 10:20 am","HUM 113","Oksana Kashchenko","7 / 10"
"RUSS 101-L2","10719","Elementary Russian I Lab"," T R ","3:00 - 3:40 pm","HUM 110","Oksana Kashchenko","4 / 10"
"RUSS 203-01","10720","Intermediate Russian I","M W F","9:40 - 10:40 am","HUM 217","Tamara von Schmidt-Pauli","10 / 20"
"RUSS 203-L1","10721","Intermediate Russian I Lab"," T R ","10:30 - 11:10 am","HUM 113","Oksana Kashchenko","6 / 10"
"RUSS 203-L2","10722","Intermediate Russian I Lab"," T R ","3:45 - 4:25 pm","HUM 110","Oksana Kashchenko","4 / 10"
"RUSS 262-01","10727","Revolutionary Russia and the Soviet Union"," T R ","3:00 - 4:30 pm","HUM 213","Alan Barenberg","8 / 20"
"RUSS 294-01","10723","Environment and Empire","M W F","10:50 - 11:50 am","ARTCOM 202","Maria Fedorova","2 / 25"
"RUSS 294-02","10725","Us vs Them: The Cold War and Its Culture"," T R ","9:40 - 11:10 am","THEATR 201","James von Geldern","-2 / 20"
"RUSS 305-01","10731","Advanced Russian I","M W F","12:00 - 1:00 pm","HUM 212","Tamara von Schmidt-Pauli","2 / 15"
"SOCI 110-01","10732","Introduction to Sociology"," T R ","3:00 - 4:30 pm","THEATR 200","Aspen Chen","1 / 25"
"SOCI 110-02","11007","Introduction to Sociology"," T R ","3:00 - 4:30 pm","THEATR 002","Mark Pharris","-2 / 25"
"SOCI 194-01","10876","Schooling and Society","M W F","2:20 - 3:20 pm","CARN 06A","Aspen Chen","-2 / 25"
"SOCI 194-02","10879","Palestine","  W  ","7:00 - 10:00 pm","THEATR 200","Khaldoun Samman","0 / 40"
"SOCI 258-F1","10734","Immigrant Voices in Times of Fear"," T R ","8:00 - 9:30 am","CARN 204","Erika Busse-Cárdenas","0 / 16"
"SOCI 275-01","10736","Comparative-Historical Methods for Social Science","M W F","10:50 - 11:50 am","THEATR 001","Erik Larson","1 / 29"
"SOCI 294-02","10739","Sex and Empire","M    ","7:00 - 10:00 pm","CARN 204","Christina Hughes","-2 / 20"
"SOCI 294-03","10740","Sociology of Mental Health","M W F","1:10 - 2:10 pm","CARN 06A","Mahala Miller","7 / 20"
"SOCI 335-01","10741","Families and Social Change"," T R ","9:40 - 11:10 am","CARN 204","Erika Busse-Cárdenas","13 / 20"
"SOCI 480-01","10742","Senior Seminar"," T R ","1:20 - 2:50 pm","THEATR 206","Erik LarsonChristina Hughes","5 / 29"
"SPAN 101-01","10743","Elementary Spanish I","M W F","9:40 - 10:40 am","HUM 215","Fernando Contreras","1 / 20"
"SPAN 101-02","10744","Elementary Spanish I","M W F","10:50 - 11:50 am","HUM 215","Susana Blanco-Iglesias","1 / 20"
"SPAN 101-03","10745","Elementary Spanish I","M W F","12:00 - 1:00 pm","HUM 215","Susana Blanco-Iglesias","-1 / 20"
"SPAN 101-L1","10746","Elementary Spanish I Lab"," T   ","8:30 - 9:30 am","THEATR 001","Bibiana Sanabria Toro","0 / 15"
"SPAN 101-L2","10747","Elementary Spanish I Lab"," T   ","9:40 - 10:40 am","THEATR 001","Bibiana Sanabria Toro","0 / 16"
"SPAN 101-L3","10748","Elementary Spanish I Lab"," T   ","3:30 - 4:30 pm","HUM 215","Bibiana Sanabria Toro","6 / 15"
"SPAN 101-L4","10749","Elementary Spanish I Lab","   R ","1:20 - 2:20 pm","HUM 215","Bibiana Sanabria Toro","1 / 15"
"SPAN 101-L5","10750","Elementary Spanish I Lab","   R ","3:30 - 4:30 pm","HUM 215","Bibiana Sanabria Toro","10 / 15"
"SPAN 102-01","10752","Elementary Spanish II","M W F","8:30 - 9:30 am","HUM 314","Rosa Rull-Montoya","-2 / 20"
"SPAN 102-02","10753","Elementary Spanish II","M W F","9:40 - 10:40 am","HUM 314","Rosa Rull-Montoya","-4 / 20"
"SPAN 102-L1","10754","Elementary Spanish II Lab"," T   ","8:30 - 9:30 am","HUM 226","Monica Lujan Cervera","-4 / 10"
"SPAN 102-L2","10755","Elementary Spanish II Lab"," T   ","9:40 - 10:40 am","HUM 226","Monica Lujan Cervera","0 / 10"
"SPAN 102-L3","10756","Elementary Spanish II Lab"," T   ","3:30 - 4:30 pm","HUM 226","Monica Lujan Cervera","3 / 10"
"SPAN 102-L4","10757","Elementary Spanish II Lab","   R ","1:20 - 2:20 pm","HUM 226","Monica Lujan Cervera","-5 / 10"
"SPAN 110-01","10759","Accelerated Beginning Spanish","M W F","8:30 - 9:30 am","HUM 216","Susana Blanco-Iglesias","1 / 15"
"SPAN 203-02","10763","Intermediate Spanish I","M W F","1:10 - 2:10 pm","HUM 214","Claire Lozano","1 / 20"
"SPAN 203-03","10764","Intermediate Spanish I","M W F","2:20 - 3:20 pm","HUM 214","Claire Lozano","10 / 20"
"SPAN 203-04","10765","Intermediate Spanish I","M W F","12:00 - 1:00 pm","HUM 314","Rosa Rull-Montoya","6 / 20"
"SPAN 203-L1","10766","Intermediate Spanish I Lab"," T   ","1:20 - 2:20 pm","HUM 226","Monica Lujan Cervera","0 / 14"
"SPAN 203-L3","10768","Intermediate Spanish I Lab","   R ","8:30 - 9:30 am","HUM 226","Monica Lujan Cervera","5 / 14"
"SPAN 203-L4","10769","Intermediate Spanish I Lab","   R ","9:40 - 10:40 am","HUM 226","Monica Lujan Cervera","0 / 14"
"SPAN 203-L6","10771","Intermediate Spanish I Lab","   R ","3:30 - 4:30 pm","HUM 226","Monica Lujan Cervera","8 / 14"
"SPAN 204-01","10773","Intermediate Spanish II","M W F","9:40 - 10:40 am","THEATR 213","Blanca Gimeno Escudero","2 / 20"
"SPAN 204-02","10774","Intermediate Spanish II","M W F","10:50 - 11:50 am","HUM 216","Claudia Giannini","0 / 20"
"SPAN 204-03","10775","Intermediate Spanish II","M W F","12:00 - 1:00 pm","HUM 216","Claudia Giannini","0 / 20"
"SPAN 204-L1","10776","Intermediate Spanish II Lab"," T   ","1:20 - 2:20 pm","HUM 215","Bibiana Sanabria Toro","0 / 14"
"SPAN 204-L2","10777","Intermediate Spanish II Lab"," T   ","2:25 - 3:25 pm","HUM 226","Monica Lujan Cervera","3 / 12"
"SPAN 204-L3","10778","Intermediate Spanish II Lab","   R ","8:30 - 9:30 am","THEATR 101","Bibiana Sanabria Toro","-1 / 14"
"SPAN 204-L4","10779","Intermediate Spanish II Lab","   R ","9:40 - 10:40 am","THEATR 101","Bibiana Sanabria Toro","0 / 13"
"SPAN 204-L5","10780","Intermediate Spanish II Lab","   R ","2:25 - 3:25 pm","HUM 215","Bibiana Sanabria Toro","5 / 12"
"SPAN 305-01","10782","Advanced Oral and Written Expression"," T R ","1:20 - 2:50 pm","OLRI 301","Blanca Gimeno Escudero","4 / 15"
"SPAN 305-02","10783","Advanced Oral and Written Expression"," T R ","3:00 - 4:30 pm","OLRI 301","Blanca Gimeno Escudero","9 / 15"
"SPAN 305-03","10784","Advanced Oral and Written Expression","M W F","3:30 - 4:30 pm","HUM 215","Daniel Coral Reyes","2 / 15"
"SPAN 305-04","10785","Advanced Oral and Written Expression","M W F","2:20 - 3:20 pm","HUM 400","Claudia Giannini","0 / 15"
"SPAN 306-F1","10786","Spanish for Heritage Speakers: Latin American and Latinx Cultures","M W F","10:50 - 11:50 am","HUM 214","Alicia Muñoz","0 / 7"
"SPAN 307-01","10787","Introduction to the Analysis of Hispanic Texts","M W F","3:30 - 4:30 pm","HUM 216","Toni Dorca","3 / 15"
"SPAN 309-01","10792","Introduction to Hispanic Linguistics","M W F","9:40 - 10:40 am","HUM 212","Claire Lozano","6 / 15"
"SPAN 316-01","10794","Mapping the New World: Exploration, Encounters, and Disasters","M W F","12:00 - 1:00 pm","HUM 213","Daniel Coral Reyes","-3 / 15"
"SPAN 330-01","10797","Advanced Spanish Grammar: Meaning and Communication"," T R ","3:00 - 4:30 pm","HUM 216","Cynthia Kauffeld","8 / 15"
"SPAN 361-01","10800","The Fight Against Tradition: From the Enlightenment to the Avant Garde","M W F","2:20 - 3:20 pm","HUM 216","Toni Dorca","0 / 15"
"SPAN 375-01","10801","History of the Spanish Language"," T R ","9:40 - 11:10 am","HUM 216","Cynthia Kauffeld","10 / 15"
"SPAN 386-01","10803","Constructions of a Female Killer","M W F","9:40 - 10:40 am","HUM 214","Alicia Muñoz","-1 / 15"
"STAT 112-01","10487","Introduction to Data Science"," T R ","1:20 - 2:50 pm","THEATR 205","Alicia Johnson","-2 / 24"
"STAT 112-02","10489","Introduction to Data Science"," T R ","9:40 - 11:10 am","THEATR 200","Brianna Heggeseth","-3 / 24"
"STAT 112-03","10491","Introduction to Data Science","M W F","9:40 - 10:40 am","THEATR 002","Amin Alhashim","1 / 24"
"STAT 112-04","11002","Introduction to Data Science","M W F","8:30 - 9:30 am","THEATR 201","Andrew Beveridge","1 / 16"
"STAT 125-01","10540","Epidemiology","M W F","12:00 - 1:00 pm","THEATR 200","Kelsey McDonald","0 / 24"
"STAT 155-01","10541","Introduction to Statistical Modeling","M W F","12:00 - 1:00 pm","THEATR 204","Leslie Myint","-2 / 24"
"STAT 155-02","10542","Introduction to Statistical Modeling","M W F","1:10 - 2:10 pm","THEATR 204","Taylor Okonek","-1 / 24"
"STAT 155-03","10543","Introduction to Statistical Modeling","M W F","2:20 - 3:20 pm","THEATR 204","Taylor Okonek","-2 / 24"
"STAT 155-04","10544","Introduction to Statistical Modeling","M W F","3:30 - 4:30 pm","THEATR 204","Taylor Okonek","-1 / 24"
"STAT 155-05","10545","Introduction to Statistical Modeling"," T R ","1:20 - 2:50 pm","THEATR 202","Jedidiah Carlson","0 / 24"
"STAT 155-06","10546","Introduction to Statistical Modeling"," T R ","3:00 - 4:30 pm","THEATR 202","Jedidiah Carlson","0 / 24"
"STAT 212-01","10505","Intermediate Data Science"," T R ","1:20 - 2:50 pm","THEATR 200","Brianna Heggeseth","-1 / 26"
"STAT 253-01","10547","Statistical Machine Learning"," T R ","8:00 - 9:30 am","OLRI 241","Kelsey Grinde","2 / 20"
"STAT 253-02","10548","Statistical Machine Learning"," T R ","9:40 - 11:10 am","OLRI 241","Kelsey Grinde","-4 / 20"
"STAT 253-03","10549","Statistical Machine Learning"," T R ","3:00 - 4:30 pm","OLRI 241","Kelsey Grinde","0 / 20"
"STAT 354-01","10536","Probability"," T R ","3:00 - 4:30 pm","THEATR 205","Alicia Johnson","-7 / 20"
"STAT 451-01","10550","Causal Inference","M W F","10:50 - 11:50 am","THEATR 204","Leslie Myint","-6 / 16"
"STAT 456-01","10515","Projects in Data Science"," T R ","1:20 - 2:50 pm","OLRI 245","Shilad Sen","2 / 20"
"THDA 105-F1","10806","Seeing Performance in the Twin Cities"," T R ","1:20 - 2:50 pm","THEATR 203","Cláudia Tatinge Nascimento","0 / 14"
"THDA 105-F2","10807","Seeing Performance in the Twin Cities"," T R ","1:20 - 2:50 pm","THEATR 204","Mina Kinukawa","0 / 14"
"THDA 112-01","10808","Reading Plays: Asian and Asian American Playwrights","M W F","9:40 - 10:40 am","THEATR 101","kt shorb","-1 / 14"
"THDA 120-01","10810","Acting","M W F","2:20 - 3:20 pm","THEATR 120","Robert Rosen","0 / 14"
"THDA 120-02","10811","Acting","M W F","3:30 - 4:30 pm","THEATR 120","Cláudia Tatinge Nascimento","2 / 14"
"THDA 125-01","10812","Technologies of Performance","M W F","10:50 - 11:50 am","THEATR 006","Thomas Barrett","7 / 12"
"THDA 125-L1","10813","Tech/Performance Lab"," T   ","8:00 - 11:10 am","THEATR 006","Thomas Barrett","7 / 12"
"THDA 21-01","10832","Dances of the African Diaspora I: Capoeira"," T R ","3:00 - 4:30 pm","THEATR 120","Marciano Silva Dos Santos","8 / 18"
"THDA 217-01","10814","Gender and Race Theory in Performance"," T R ","9:40 - 11:10 am","THEATR 213","kt shorb","5 / 14"
"THDA 22-01","10833","Beginning Ballet","M W F","2:20 - 3:20 pm","THEATR 003","Malia Craft","5 / 14"
"THDA 23-01","10834","Dance Improvisation","M W F","1:10 - 2:10 pm","THEATR 120","Krista Langberg","13 / 18"
"THDA 235-01","10817","Fundamentals of Scenography"," T R ","3:00 - 4:30 pm","THEATR 006","Mina Kinukawa","7 / 12"
"THDA 24-01","10835","Modern Dance I","M W F","10:50 - 11:50 am","THEATR 120","Wynn Fricke","10 / 18"
"THDA 242-01","10818","Playwriting","M W F","10:50 - 11:50 am","THEATR 101","Timothy Lord","0 / 12"
"THDA 242-02","10820","Playwriting"," T R ","3:00 - 4:30 pm","THEATR 201","Jarek Pastor","4 / 12"
"THDA 247-01","10822","Stage and Event Management"," T R ","1:20 - 2:50 pm","THEATR 006","Wu Chen Khoo","11 / 18"
"THDA 25-01","10836","Urban and Street Dance: Krump"," T R ","4:45 - 6:00 pm","THEATR 003","Cecil Neal","8 / 14"
"THDA 250-01","10823","Experiential Anatomy and the Mind Body Connection"," T R ","1:20 - 2:50 pm","THEATR 120","Wynn Fricke","13 / 18"
"THDA 285-01","10824","Costume Design","M W F","12:00 - 2:00 pm","THEATR 006","Sarah Bahr","1 / 12"
"THDA 294-01","10825","Historical Journey: From Greek Theater to the Restoration","M W F","12:00 - 1:00 pm","THEATR 101","Randy Reyes","1 / 12"
"THDA 32-01","10837","Intermediate Ballet"," T R ","3:00 - 4:30 pm","THEATR 003","Abdo Sayegh Rodriguez","5 / 14"
"THDA 350-01","10829","Directing for the Stage","M W F","2:20 - 4:30 pm","THEATR 004","Randy Reyes","0 / 8"
"THDA 42-01","10838","Advanced Ballet","M W F","3:30 - 4:45 pm","THEATR 003","Sally Rousse","2 / 14"
"THDA 44-01","10839","Modern Dance III","M W  ","4:45 - 6:00 pm","THEATR 120","Toni Pierce-Sands","11 / 18"
"THDA 490-01","10831","Senior Seminar"," T R ","1:20 - 2:50 pm","THEATR 101","kt shorb","7 / 12"
"THDA 79-01","10840","Performance Practice in Student Projects","MTWR ","5:30 - 9:00 pm","THEATR 121","Cláudia Tatinge Nascimento","50 / 50"
"THDA 80-01","10841","Performance Practice","MTWR ","5:30 - 9:00 pm","THEATR 121","Robert Rosen","50 / 50"
"THDA 80-02","10842","Performance Practice","MTWR ","5:30 - 9:00 pm","THEATR 121","Wynn Fricke","50 / 50"
"THDA 81-01","10843","Technical Practice","MTWR ","5:30 - 9:00 pm","THEATR 121","Wu Chen KhooThomas BarrettMaryBeth Gagner","50 / 50"
"WGSS 100-01","10844","Transnational Perspectives on Gender, Race, Class, and Sexuality","M W F","10:50 - 11:50 am","MAIN 001","Sonita Sarker","0 / 15"
"WGSS 194-01","10708","Gender Relations in Islam","M W F","1:10 - 2:10 pm","MAIN 001","Ahoo Najafian","3 / 15"
"WGSS 205-01","10845","Trans Theories and Politics"," T R ","9:40 - 11:10 am","HUM 314","Myrl Beam","1 / 21"
"WGSS 217-01","10815","Gender and Race Theory in Performance"," T R ","9:40 - 11:10 am","THEATR 213","kt shorb","5 / 14"
"WGSS 225-01","10712","Women and the Bible"," T R ","1:20 - 2:50 pm","MAIN 002","Susanna Drake","8 / 20"
"WGSS 228-01","10432","The Law, Economy and Family in the Anglo-American Tradition","M W F","12:00 - 1:00 pm","MAIN 002","Linda Sturtz","9 / 18"
"WGSS 229-01","10435","Narrating Black Women’s Resistance","M W F","1:10 - 2:10 pm","MAIN 010","Walter Greason","9 / 25"
"WGSS 240-01","10847","Comparative Feminisms: Whiteness and Postcolonialisms","M W F","1:10 - 2:10 pm","MAIN 410","Sonita Sarker","7 / 10"
"WGSS 294-02","10859","Women in African History","M W F","12:00 - 1:00 pm","THEATR 213","Tara Hollies","10 / 20"
"WGSS 300-01","10850","Worlds Upside Down: Hegemon Part I","M W F","2:20 - 3:20 pm","MAIN 410","Sonita Sarker","3 / 10"
"WGSS 305-01","10851","Telling Queer and Trans Stories: Oral History as Method and Practice"," T R ","3:00 - 4:30 pm","CARN 206","Myrl Beam","4 / 15"
"WGSS 346-01","10805","Constructions of a Female Killer","M W F","9:40 - 10:40 am","HUM 214","Alicia Muñoz","-1 / 15"
"WGSS 394-01","10565","Critical and Creative Practices of Everyday Life"," T R ","9:40 - 11:10 am","ARTCOM 202","Morgan Adamson","3 / 16"
